Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.074253815,0.12358299,1000,10,TRUE
0.050923302,0.117343831,1100,10,TRUE
0.053859803,0.1155218,1200,10,TRUE
0.049160435,0.114223799,1300,10,TRUE
0.047722974,0.112812902,1400,10,TRUE
0.042913729,0.11362551,1500,10,TRUE
0.042342004,0.112895913,1600,10,TRUE
0.043558202,0.11647085,1700,10,TRUE
0.04103374,0.11296202,1800,10,TRUE
0.04236887,0.116374858,1900,10,TRUE
0.042098403,0.112630879,2000,10,TRUE
0.046728947,0.113538574,2100,10,TRUE
0.051921555,0.11659582,2200,10,TRUE
0.054197282,0.114617122,2300,10,TRUE
0.042127986,0.116533939,2400,10,TRUE
0.043876362,0.117480272,2500,10,TRUE
0.044473745,3.116940243,2600,10,
0.04230397,0.126361316,2700,10,TRUE
0.043586878,0.115318044,2800,10,TRUE
0.045263111,0.113326065,2900,10,TRUE
0.043594727,0.114119052,3000,10,TRUE
0.044220484,0.113562421,3100,10,TRUE
0.048509924,0.112299134,3200,10,TRUE
0.045093163,0.116990956,3300,10,TRUE
0.045968258,0.114377143,3400,10,TRUE
0.04568813,0.113534952,3500,10,TRUE
0.04743681,0.116187704,3600,10,TRUE
0.046155411,0.111916375,3700,10,TRUE
0.070926706,0.117194409,3800,10,TRUE
0.055526376,0.112845804,3900,10,TRUE
0.049001958,0.113719993,4000,10,TRUE
0.048902344,0.116198269,4100,10,TRUE
0.048987469,0.11294572,4200,10,TRUE
0.050235965,0.113135288,4300,10,TRUE
0.055923624,0.116747655,4400,10,TRUE
0.052549123,0.113198679,4500,10,TRUE
0.052256016,0.112784225,4600,10,TRUE
0.178552433,0.116806821,4700,10,FALSE
0.051977097,0.112770339,4800,10,TRUE
0.052029017,0.11197071,4900,10,TRUE
0.052979577,0.164371016,5000,10,TRUE
0.053805467,0.113577816,5100,10,TRUE
0.052850984,0.117861522,5200,10,TRUE
0.054862886,0.11770063,5300,10,TRUE
0.056218845,0.114776505,5400,10,TRUE
0.074456062,0.114096413,5500,10,TRUE
0.042182018,0.112716909,5600,10,TRUE
0.037329004,0.112221254,5700,10,TRUE
0.055745828,0.117512571,5800,10,TRUE
0.057211966,0.114618632,5900,10,TRUE
0.055874723,0.113238827,6000,10,TRUE
0.061097517,0.116779955,6100,10,TRUE
0.057492999,0.113457978,6200,10,TRUE
0.058600827,0.112889272,6300,10,TRUE
0.059314426,0.11280143,6400,10,TRUE
0.062183612,0.118558518,6500,10,TRUE
0.060906439,0.114122675,6600,10,TRUE
0.099131064,0.117326625,6700,10,TRUE
0.065836127,0.113685882,6800,10,TRUE
0.062603199,0.119244346,6900,10,TRUE
0.063342154,0.113420245,7000,10,TRUE
0.063068366,3.124326775,7100,10,
0.063718875,0.122041388,7200,10,TRUE
0.064173478,0.124015557,7300,10,TRUE
0.064611478,0.115845696,7400,10,TRUE
0.065263799,0.115227787,7500,10,TRUE
0.065451254,0.119356336,7600,10,TRUE
0.066285598,0.115384755,7700,10,TRUE
0.101580965,0.119352412,7800,10,TRUE
0.068869525,0.120702032,7900,10,TRUE
0.068803418,0.114966979,8000,10,TRUE
0.067095189,0.123185137,8100,10,TRUE
0.067320376,0.121698473,8200,10,TRUE
0.06928881,0.121261379,8300,10,TRUE
0.069051245,0.116002966,8400,10,TRUE
0.069903701,0.122464596,8500,10,TRUE
0.070260802,0.119927155,8600,10,TRUE
0.070307288,0.122511988,8700,10,TRUE
0.097371819,0.152058418,8800,10,TRUE
0.072661802,0.118168514,8900,10,TRUE
0.072780736,0.116791124,9000,10,TRUE
0.072589355,0.115245295,9100,10,TRUE
0.074373051,0.120231431,9200,10,TRUE
0.073960104,0.12399835,9300,10,TRUE
0.075890806,0.116299091,9400,10,TRUE
0.076208967,0.119506059,9500,10,TRUE
0.082091931,0.118497844,9600,10,TRUE
0.097529994,0.120297236,9700,10,TRUE
0.075965366,0.114273002,9800,10,TRUE
0.076480038,0.129413732,9900,10,TRUE
0.077433315,0.1311929,10000,10,TRUE
0.031596367,0.115951045,1000,20,TRUE
0.033498692,0.116172913,1100,20,TRUE
0.035356645,0.117325719,1200,20,TRUE
